"Motion Profile Trajectory generated by MCSF"
maxV(rps),2855.98
maxA(rps/s),1903.99
dist(r),42839.7
ItP(ms),10
T1(ms),1499
T2(ms),749
T4(ms),14999
FL1,150
FL2,75
N,1499
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
203,2.02,1,73.3133,2792.6,2589.04,576.206,10
204,2.03,1,73.46,2798.11,2616.99,551.154,10
205,2.04,1,73.6,2803.37,2645,526.101,10
206,2.05,1,73.7333,2808.38,2673.06,501.049,10
207,2.06,1,73.86,2813.14,2701.17,475.996,10
208,2.07,1,73.98,2817.65,2729.32,450.944,10
209,2.08,1,74.0933,2821.91,2757.52,425.891,10
210,2.09,1,74.2,2825.92,2785.76,400.839,10
211,2.1,1,74.3,2829.67,2814.03,375.787,10
212,2.11,1,74.3933,2833.18,2842.35,350.734,10
213,2.12,1,74.48,2836.44,2870.7,325.682,10
214,2.13,1,74.56,2839.44,2899.08,300.629,10
215,2.14,1,74.6333,2842.2,2927.48,275.577,10
216,2.15,1,74.7,2844.7,2955.92,250.524,10
217,2.16,1,74.76,2846.96,2984.38,225.472,10
218,2.17,1,74.8133,2848.96,3012.86,200.42,10
219,2.18,1,74.86,2850.72,3041.35,175.367,10
220,2.19,1,74.9,2852.22,3069.87,150.315,10
221,2.2,1,74.9333,2853.47,3098.4,125.262,10
222,2.21,1,74.96,2854.47,3126.94,100.21,10
223,2.22,1,74.98,2855.23,3155.49,75.1573,10
224,2.23,1,74.9933,2855.73,3184.04,50.1049,10
225,2.24,1,75,2855.98,3212.6,25.0524,10
226,2.25,1,75,2855.98,3241.16,0,10
227,2.26,1,75,2855.98,3269.72,0,10
228,2.27,1,75,2855.98,3298.28,0,10
229,2.28,1,75,2855.98,3326.84,0,10
230,2.29,1,75,2855.98,3355.4,0,10
231,2.3,1,75,2855.98,3383.96,0,10
232,2.31,1,75,2855.98,3412.52,0,10
233,2.32,1,75,2855.98,3441.08,0,10
234,2.33,1,75,2855.98,3469.64,0,10
235,2.34,1,75,2855.98,3498.2,0,10
236,2.35,1,75,2855.98,3526.76,0,10
237,2.36,1,75,2855.98,3555.32,0,10
238,2.37,1,75,2855.98,3583.88,0,10
239,2.38,1,75,2855.98,3612.44,0,10
240,2.39,1,75,2855.98,3641,0,10
241,2.4,1,75,2855.98,3669.56,0,10
242,2.41,1,75,2855.98,3698.12,0,10
243,2.42,1,75,2855.98,3726.68,0,10
244,2.43,1,75,2855.98,3755.24,0,10
245,2.44,1,75,2855.98,3783.8,0,10
246,2.45,1,75,2855.98,3812.35,0,10
247,2.46,1,75,2855.98,3840.91,0,10
248,2.47,1,75,2855.98,3869.47,0,10
249,2.48,1,75,2855.98,3898.03,0,10
250,2.49,1,75,2855.98,3926.59,0,10
251,2.5,1,75,2855.98,3955.15,0,10
252,2.51,1,75,2855.98,3983.71,0,10
253,2.52,1,75,2855.98,4012.27,0,10
254,2.53,1,75,2855.98,4040.83,0,10
255,2.54,1,75,2855.98,4069.39,0,10
256,2.55,1,75,2855.98,4097.95,0,10
257,2.56,1,75,2855.98,4126.51,0,10
258,2.57,1,75,2855.98,4155.07,0,10
259,2.58,1,75,2855.98,4183.63,0,10
260,2.59,1,75,2855.98,4212.19,0,10
261,2.6,1,75,2855.98,4240.75,0,10
262,2.61,1,75,2855.98,4269.31,0,10
263,2.62,1,75,2855.98,4297.87,0,10
264,2.63,1,75,2855.98,4326.43,0,10
265,2.64,1,75,2855.98,4354.99,0,10
266,2.65,1,75,2855.98,4383.55,0,10
267,2.66,1,75,2855.98,4412.11,0,10
268,2.67,1,75,2855.98,4440.67,0,10
269,2.68,1,75,2855.98,4469.23,0,10
270,2.69,1,75,2855.98,4497.79,0,10
271,2.7,1,75,2855.98,4526.35,0,10
272,2.71,1,75,2855.98,4554.91,0,10
273,2.72,1,75,2855.98,4583.47,0,10
274,2.73,1,75,2855.98,4612.03,0,10
275,2.74,1,75,2855.98,4640.59,0,10
276,2.75,1,75,2855.98,4669.15,0,10
277,2.76,1,75,2855.98,4697.71,0,10
278,2.77,1,75,2855.98,4726.27,0,10
279,2.78,1,75,2855.98,4754.83,0,10
280,2.79,1,75,2855.98,4783.39,0,10
281,2.8,1,75,2855.98,4811.95,0,10
282,2.81,1,75,2855.98,4840.51,0,10
283,2.82,1,75,2855.98,4869.07,0,10
284,2.83,1,75,2855.98,4897.63,0,10
285,2.84,1,75,2855.98,4926.19,0,10
286,2.85,1,75,2855.98,4954.75,0,10
287,2.86,1,75,2855.98,4983.31,0,10
288,2.87,1,75,2855.98,5011.87,0,10
289,2.88,1,75,2855.98,5040.43,0,10
290,2.89,1,75,2855.98,5068.99,0,10
291,2.9,1,75,2855.98,5097.55,0,10
292,2.91,1,75,2855.98,5126.1,0,10
293,2.92,1,75,2855.98,5154.66,0,10
294,2.93,1,75,2855.98,5183.22,0,10
295,2.94,1,75,2855.98,5211.78,0,10
296,2.95,1,75,2855.98,5240.34,0,10
297,2.96,1,75,2855.98,5268.9,0,10
298,2.97,1,75,2855.98,5297.46,0,10
299,2.98,1,75,2855.98,5326.02,0,10
300,2.99,1,75,2855.98,5354.58,0,10
301,3,1,75,2855.98,5383.14,0,10
302,3.01,1,75,2855.98,5411.7,0,10
303,3.02,1,75,2855.98,5440.26,0,10
304,3.03,1,75,2855.98,5468.82,0,10
305,3.04,1,75,2855.98,5497.38,0,10
306,3.05,1,75,2855.98,5525.94,0,10
307,3.06,1,75,2855.98,5554.5,0,10
308,3.07,1,75,2855.98,5583.06,0,10
309,3.08,1,75,2855.98,5611.62,0,10
310,3.09,1,75,2855.98,5640.18,0,10
311,3.1,1,75,2855.98,5668.74,0,10
312,3.11,1,75,2855.98,5697.3,0,10
313,3.12,1,75,2855.98,5725.86,0,10
314,3.13,1,75,2855.98,5754.42,0,10
315,3.14,1,75,2855.98,5782.98,0,10
316,3.15,1,75,2855.98,5811.54,0,10
317,3.16,1,75,2855.98,5840.1,0,10
318,3.17,1,75,2855.98,5868.66,0,10
319,3.18,1,75,2855.98,5897.22,0,10
320,3.19,1,75,2855.98,5925.78,0,10
321,3.2,1,75,2855.98,5954.34,0,10
322,3.21,1,75,2855.98,5982.9,0,10
323,3.22,1,75,2855.98,6011.46,0,10
324,3.23,1,75,2855.98,6040.02,0,10
325,3.24,1,75,2855.98,6068.58,0,10
326,3.25,1,75,2855.98,6097.14,0,10
327,3.26,1,75,2855.98,6125.7,0,10
328,3.27,1,75,2855.98,6154.26,0,10
329,3.28,1,75,2855.98,6182.82,0,10
330,3.29,1,75,2855.98,6211.38,0,10
331,3.3,1,75,2855.98,6239.94,0,10
332,3.31,1,75,2855.98,6268.5,0,10
333,3.32,1,75,2855.98,6297.06,0,10
334,3.33,1,75,2855.98,6325.62,0,10
335,3.34,1,75,2855.98,6354.18,0,10
336,3.35,1,75,2855.98,6382.74,0,10
337,3.36,1,75,2855.98,6411.29,0,10
338,3.37,1,75,2855.98,6439.85,0,10
339,3.38,1,75,2855.98,6468.41,0,10
340,3.39,1,75,2855.98,6496.97,0,10
341,3.4,1,75,2855.98,6525.53,0,10
342,3.41,1,75,2855.98,6554.09,0,10
343,3.42,1,75,2855.98,6582.65,0,10
344,3.43,1,75,2855.98,6611.21,0,10
345,3.44,1,75,2855.98,6639.77,0,10
346,3.45,1,75,2855.98,6668.33,0,10
347,3.46,1,75,2855.98,6696.89,0,10
348,3.47,1,75,2855.98,6725.45,0,10
349,3.48,1,75,2855.98,6754.01,0,10
350,3.49,1,75,2855.98,6782.57,0,10
351,3.5,1,75,2855.98,6811.13,0,10
352,3.51,1,75,2855.98,6839.69,0,10
353,3.52,1,75,2855.98,6868.25,0,10
354,3.53,1,75,2855.98,6896.81,0,10
355,3.54,1,75,2855.98,6925.37,0,10
356,3.55,1,75,2855.98,6953.93,0,10
357,3.56,1,75,2855.98,6982.49,0,10
358,3.57,1,75,2855.98,7011.05,0,10
359,3.58,1,75,2855.98,7039.61,0,10
360,3.59,1,75,2855.98,7068.17,0,10
361,3.6,1,75,2855.98,7096.73,0,10
362,3.61,1,75,2855.98,7125.29,0,10
363,3.62,1,75,2855.98,7153.85,0,10
364,3.63,1,75,2855.98,7182.41,0,10
365,3.64,1,75,2855.98,7210.97,0,10
366,3.65,1,75,2855.98,7239.53,0,10
367,3.66,1,75,2855.98,7268.09,0,10
368,3.67,1,75,2855.98,7296.65,0,10
369,3.68,1,75,2855.98,7325.21,0,10
370,3.69,1,75,2855.98,7353.77,0,10
371,3.7,1,75,2855.98,7382.33,0,10
372,3.71,1,75,2855.98,7410.89,0,10
373,3.72,1,75,2855.98,7439.45,0,10
374,3.73,1,75,2855.98,7468.01,0,10
375,3.74,1,75,2855.98,7496.57,0,10
376,3.75,1,75,2855.98,7525.13,0,10
