"Motion Profile Trajectory generated by MCSF"
maxV(rps),2244.02
maxA(rps/s),1496.01
dist(r),33660.3
ItP(ms),10
T1(ms),1500
T2(ms),750
T4(ms),15000
FL1,150
FL2,75
N,1500
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
333,3.32,1,75,2244.02,4947.77,0,10
334,3.33,1,75,2244.02,4970.21,0,10
335,3.34,1,75,2244.02,4992.65,0,10
336,3.35,1,75,2244.02,5015.09,0,10
337,3.36,1,75,2244.02,5037.53,0,10
338,3.37,1,75,2244.02,5059.97,0,10
339,3.38,1,75,2244.02,5082.41,0,10
340,3.39,1,75,2244.02,5104.85,0,10
341,3.4,1,75,2244.02,5127.29,0,10
342,3.41,1,75,2244.02,5149.74,0,10
343,3.42,1,75,2244.02,5172.18,0,10
344,3.43,1,75,2244.02,5194.62,0,10
345,3.44,1,75,2244.02,5217.06,0,10
346,3.45,1,75,2244.02,5239.5,0,10
347,3.46,1,75,2244.02,5261.94,0,10
348,3.47,1,75,2244.02,5284.38,0,10
349,3.48,1,75,2244.02,5306.82,0,10
350,3.49,1,75,2244.02,5329.26,0,10
351,3.5,1,75,2244.02,5351.7,0,10
352,3.51,1,75,2244.02,5374.14,0,10
353,3.52,1,75,2244.02,5396.58,0,10
354,3.53,1,75,2244.02,5419.02,0,10
355,3.54,1,75,2244.02,5441.46,0,10
356,3.55,1,75,2244.02,5463.9,0,10
357,3.56,1,75,2244.02,5486.34,0,10
358,3.57,1,75,2244.02,5508.78,0,10
359,3.58,1,75,2244.02,5531.22,0,10
360,3.59,1,75,2244.02,5553.66,0,10
361,3.6,1,75,2244.02,5576.1,0,10
362,3.61,1,75,2244.02,5598.54,0,10
363,3.62,1,75,2244.02,5620.98,0,10
364,3.63,1,75,2244.02,5643.42,0,10
365,3.64,1,75,2244.02,5665.86,0,10
366,3.65,1,75,2244.02,5688.3,0,10
367,3.66,1,75,2244.02,5710.74,0,10
368,3.67,1,75,2244.02,5733.18,0,10
369,3.68,1,75,2244.02,5755.62,0,10
370,3.69,1,75,2244.02,5778.06,0,10
371,3.7,1,75,2244.02,5800.5,0,10
372,3.71,1,75,2244.02,5822.94,0,10
373,3.72,1,75,2244.02,5845.38,0,10
374,3.73,1,75,2244.02,5867.82,0,10
375,3.74,1,75,2244.02,5890.26,0,10
376,3.75,1,75,2244.02,5912.7,0,10
377,3.76,1,75,2244.02,5935.14,0,10
378,3.77,1,75,2244.02,5957.58,0,10
379,3.78,1,75,2244.02,5980.02,0,10
380,3.79,1,75,2244.02,6002.46,0,10
381,3.8,1,75,2244.02,6024.9,0,10
382,3.81,1,75,2244.02,6047.34,0,10
383,3.82,1,75,2244.02,6069.78,0,10
384,3.83,1,75,2244.02,6092.22,0,10
385,3.84,1,75,2244.02,6114.66,0,10
386,3.85,1,75,2244.02,6137.1,0,10
387,3.86,1,75,2244.02,6159.55,0,10
388,3.87,1,75,2244.02,6181.99,0,10
389,3.88,1,75,2244.02,6204.43,0,10
390,3.89,1,75,2244.02,6226.87,0,10
391,3.9,1,75,2244.02,6249.31,0,10
392,3.91,1,75,2244.02,6271.75,0,10
393,3.92,1,75,2244.02,6294.19,0,10
394,3.93,1,75,2244.02,6316.63,0,10
